table_id,state_code,state_name,category,type,description,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
coal-va-64,VA,Virginia,production,Coal,Coal production,Billion Btu,752355,818669,794606,823684,855445,921140,961710,992721,998969,964455,960260,838224,930648,867073,862074,886808,1020380,947701,803194,961044,1063349,1104467,1048592,933640,1079425,1100878,1106055,1193987,1243991,1155118,1276214,1131253,1159688,1046530,987555,913518,946719,956413,905967,854725,870044,863870,793381,827937,817769,716557,768443,656314,623303,535643,564326,562805,493398,456766,393225,365832,335590,343642,318949,320290,251899
coal-vt-96,VT,Vermont,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-wa-101,WA,Washington,production,Coal,Coal production,Billion Btu,3714,3111,3828,3095,1108,896,961,961,2899,945,603,18471,42903,52974,63391,60637,66566,81923,76270,82166,83268,75087,67457,63034,62726,71896,74536,72074,84209,81690,81056,82320,83184,74933,77210,78433,72089,71253,72809,63997,66520,72134,91335,97712,89958,82685,40268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-wi-89,WI,Wisconsin,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-wv-93,WV,West Virginia,production,Coal,Coal production,Billion Btu,2971458,2821061,2953044,3305985,3532592,3730403,3741366,3842089,3645105,3535711,3652113,2991677,3128328,2972141,2605821,2769249,2768788,2422787,2148688,2891197,3112014,2934294,3344594,3003769,3413581,3339898,3391600,3561008,3802175,3996483,4450036,4391171,4250361,3382972,4203423,4217195,4392067,4464061,4413049,4021540,4015521,4085483,3805093,3524504,3724793,3848482,3802035,3855269,3870325,3379357,3346117,3321102,3059090,2874653,2858022,2447181,2041073,2390309,2468639,2422224,1748361
coal-wy-73,WY,Wyoming,production,Coal,Coal production,Billion Btu,35173,43949,44644,54288,53889,56652,63777,62352,66540,79973,125503,139927,189905,275588,386138,434560,562876,829722,1040681,1273792,1689894,1805421,1883980,1951950,2262190,2430658,2363205,2536336,2850214,2972702,3194482,3356524,3301795,3633351,4093410,4551803,4817051,4886100,5450488,5837971,5892281,6407633,6486135,6551331,6908962,7019843,7739988,7847634,8087435,7459876,7658286,7591675,6973727,6760447,6880205,6538240,5169939,5516757,5315953,4828513,3822600
coal-us-79,US,United States,production,Coal,Coal production,Billion Btu,10590206,10239471,10670680,11605467,12273824,12831858,13281168,13697146,13486770,13832984,14877023,13517653,14391826,14006108,14025005,14981863,15689495,15759938,14979104,17617675,18629602,18523580,18826604,17364161,19914476,19514305,19676150,20295490,20949127,21517324,22761184,21869054,21897732,20358442,22345526,22178769,22839407,23412530,23917422,23177242,22595116,23587925,22729814,22054837,22821746,23183084,23643934,23337321,23706398,21689785,21831301,22057248,20585319,19901802,20170837,17931020,14538027,15549225,15280478,14290746,10723138
natg-ak-85,AK,Alaska,production,Natural gas,Natural gas marketed production,Billion Btu,248,637,2205,4541,6332,7324,11374,14575,17508,51348,112638,122428,127765,134288,131780,163509,169341,191439,204914,222213,232363,244752,265384,278162,295524,336888,315840,404883,431611,436710,432880,501639,513416,497716,622300,547493,557204,552678,547045,541668,549234,553301,539400,562687,543764,548394,497073,489308,448503,443666,419310,405691,399421,380655,381937,380887,369865,382940,375279,364363,376283
natg-al-64,AL,Alabama,production,Natural gas,Natural gas marketed production,Billion Btu,93,91,208,288,270,330,410,403,374,293,1019,860,4181,11931,29460,39999,43708,60447,91329,96524,75378,90084,87056,101942,113438,119997,118751,129014,141278,140473,147464,183772,292337,319576,415752,395302,399761,411570,414185,422526,414417,391253,390053,374804,348224,327318,326288,307971,289280,267121,256117,225570,229914,211258,195614,182481,176290,159686,149607,138425,124831
natg-ar-80,AR,Arkansas,production,Natural gas,Natural gas marketed production,Billion Btu,57339,61574,68467,78691,78760,85651,108754,120488,161958,175018,187524,177416,169310,159276,125426,117327,110525,107333,108240,113561,114395,95489,127144,132568,139948,159936,135689,145493,169871,176611,177885,167987,204972,199946,192702,202230,228350,212498,193586,173898,175471,170142,166236,175384,189912,193576,278724,273910,453357,691076,938086,1090851,1164000,1164319,1142667,1031466,839485,708482,600455,534585,489956
