state_code,year,All Industry Total - Dollars,Consumption - Billion Btu,Fossil Fuel Consumption - Billion Btu,Fossil Fuel Production - Billion Btu,GDP per Capita - Dollars,Nuclear Consumption - Billion Btu,Population - Individual Person,Production - Billion Btu,Renewable Consumption - Billion Btu,Renewable Production - Billion Btu,Total Expenditure - Dollars
MI,2010,3.90043E+11,2780081,2322640,40484,39463,309636,9883640,635800,160228,258914,34657000000
MN,2010,2.74231E+11,1855906,1330667,0,51703,140873,5303925,431947,224991,426724,20894000000
MO,2010,2.59816E+11,1925762,1729913,10663,43383,94027,5988927,207124,100761,165404,23035000000
MS,2010,93943000000,1153755,972922,180676,31659,100791,2967297,448125,74760,121010,12900000000
MT,2010,38336000000,405113,448199,943961,38746,0,989415,1149362,117222,229568,4766000000
NC,2010,4.20028E+11,2756601,1933933,0,44049,425810,9535483,584206,189840,315698,34288000000
ND,2010,35676000000,473681,621938,1030488,53043,0,672591,1247321,84009,172082,4375000000
NE,2010,91562000000,867558,667510,13520,50134,115540,1826341,411720,133695,306796,8788000000
NH,2010,64844000000,299071,244684,0,49256,114032,1316470,159178,51207,90293,5298000000
NJ,2010,4.92762E+11,2289793,1663423,0,56047,342526,8791894,380036,74452,75020,35476000000
NM,2010,84612000000,653704,739887,761748,41090,0,2059179,2248542,39937,63924,7301000000
NV,2010,1.24669E+11,698602,630646,2471,46164,0,2700551,51437,56490,97908,10210000000
NY,2010,1.22353E+12,3874609,2876076,2210,63140,437620,19378102,842766,405869,717850,64480000000
OH,2010,5.00515E+11,3788343,3257301,672625,43385,165192,11536504,1044134,129229,193283,44137000000
OK,2010,1.54287E+11,1579813,1567515,424717,41128,0,3751351,2587961,108361,190874,16989000000
OR,2010,1.64137E+11,981828,627652,0,42844,0,3831074,400176,406575,792570,12707000000
PA,2010,6.04737E+11,3755033,3458282,1504555,47608,813462,12702379,3078204,191041,303173,48688000000
RI,2010,49468000000,195400,184486,0,46997,0,1052567,3726,7181,7432,3688000000
SC,2010,1.6586E+11,1665789,1137660,0,35859,543379,4625364,658750,134412,230659,18971000000
SD,2010,37853000000,377425,226351,9321,46492,0,814180,221127,128953,278479,3888000000
TN,2010,2.57776E+11,2251487,1460308,46521,40620,289930,6346105,508887,176946,309204,25589000000
TX,2010,1.24596E+12,11605812,10653305,3013507,49550,432036,25145561,11384911,458208,746982,1.36163E+11
US,2010,1.5049E+13,97513781,80728783,33441770,48742,8434433,308745538,74784036,8268103,14762132,1.21428E+12
UT,2010,1.1867E+11,753018,844360,588737,42936,0,2763885,1072384,22774,35360,8406000000
VA,2010,4.26992E+11,2532435,1577291,564396,53367,277729,8001024,1104323,143773,221355,30699000000
VT,2010,27407000000,155696,90010,0,43799,49986,625741,82407,34818,64840,2796000000
WA,2010,3.65498E+11,2007894,1081712,0,54353,96588,6724540,918774,839888,1643437,22300000000
WI,2010,2.56433E+11,1809801,1363676,0,45091,138812,5686986,343078,186273,340480,21680000000
WV,2010,65999000000,751538,1174120,3356801,35617,0,1852994,3703823,52218,91956,8182000000
WY,2010,37681000000,541026,805817,7970848,66855,0,563626,10528548,45955,88529,4600000000
AK,2020,50475000000,640132,614585,948005,68824,0,733391,1348969,25546,49364,4709000000
AL,2020,2.30892E+11,1838656,1495094,337810,45955,454756,5024279,1205912,308293,575473,18570000000
AR,2020,1.33969E+11,1034661,812502,23578,44485,157288,3011524,782360,118159,214639,10368000000
AZ,2020,3.82072E+11,1508154,1217452,28,53425,329471,7151502,481613,177724,304092,20340000000
CA,2020,3.02017E+12,6922764,4844892,814462,76386,169773,39538223,2190166,1140522,2007437,1.14485E+11
CO,2020,3.91263E+11,1451112,1209252,1165626,67766,0,5773714,3775295,194308,354016,15449000000
CT,2020,2.76223E+11,667011,560491,0,76602,164095,3605944,201489,46793,72161,11540000000
DE,2020,75819000000,277144,200784,0,76589,0,989948,3571,7724,7143,3153000000
FL,2020,1.11673E+12,4003133,3290746,8468,51849,307197,21538187,574876,316200,516179,51441000000
GA,2020,6.25426E+11,2727565,1813309,0,58386,342766,10711908,655962,328396,618424,31018000000
HI,2020,82536000000,232516,201031,0,56715,0,1455271,27957,31485,55441,4696000000
IA,2020,1.96983E+11,1526087,979143,0,61743,30333,3190369,930348,556560,1231164,12694000000
ID,2020,85928000000,550098,309307,6,46723,0,1839106,151734,157973,301162,5949000000
IL,2020,8.56943E+11,3612925,2589536,730246,66883,1046769,12812508,2160217,297419,550062,34115000000
IN,2020,3.73782E+11,2564421,2194808,458747,55085,0,6785528,710151,182458,349519,24287000000
KS,2020,1.77581E+11,1069542,830095,160828,60445,110502,2937880,759592,260766,518728,10263000000
KY,2020,2.16866E+11,1595472,1377221,583979,48130,0,4505836,756015,100829,168544,15508000000
LA,2020,2.32528E+11,4200360,3747127,218343,49923,176988,4657757,3838280,144864,262366,24234000000
MA,2020,5.8515E+11,1278411,850562,0,83237,0,7029917,73946,94717,147796,20902000000
MD,2020,4.10931E+11,1212643,745762,27404,66524,157471,6177224,232114,66980,94457,15952000000
ME,2020,70740000000,365101,206378,0,51925,0,1362359,132947,138704,265847,4885000000
MI,2020,5.20105E+11,2610581,2094253,23885,51611,316732,10077331,635494,235276,406948,29070000000
MN,2020,3.76814E+11,1731499,1192232,0,66032,153260,5706494,505243,286538,538236,17647000000
MO,2020,3.3025E+11,1702136,1432785,3785,53656,80843,6154913,224636,117640,215290,18888000000
MS,2020,1.15123E+11,1037261,1034000,107195,38876,67569,2961279,268056,68745,125423,10581000000
MT,2020,52356000000,429327,362180,577120,48289,0,1084225,757430,142410,275888,4402000000
NC,2020,5.98916E+11,2470897,1593032,0,57371,441997,10439388,723140,293286,562126,28737000000
ND,2020,54423000000,625886,676876,2839215,69854,0,779094,4274952,176854,368284,4848000000
NE,2020,1.34581E+11,863654,634995,9527,68611,64621,1961504,416814,202923,441066,7637000000
NH,2020,88338000000,295548,191971,0,64128,103012,1377529,148723,51244,91102,4621000000
NJ,2020,6.20086E+11,1893854,1380604,0,66755,279201,9288994,331078,80791,103755,24827000000
NM,2020,98790000000,699738,670177,2299307,46654,0,2117522,4673691,106583,192894,6791000000
NV,2020,1.72563E+11,710083,584838,1115,55583,0,3104614,116402,125593,230548,8778000000
NY,2020,1.74081E+12,3354222,2375227,1565,86173,401287,20201249,839025,468493,842360,47968000000
OH,2020,6.84383E+11,3404480,2774264,223809,58001,190243,11799448,3186943,151441,240667,34994000000
